Experiment 3: Feature-Level Analysis Results (Wikitext-2 Scan)
============================================================

 Layer |  Feature |    Max Act |    Score | Top Token
     8 |     5612 |    2912.00 |     0.78 |  the
    16 |      239 |    2912.00 |     4.02 |  /
    19 |     1037 |    2912.00 |     3.21 |  Et
    22 |     6990 |    2912.00 |     1.25 |  Ke
    23 |     1021 |    2912.00 |     0.86 |  Long
    18 |      874 |    2896.00 |     2.68 |  The
    21 |      180 |    2896.00 |     2.86 |  W
    23 |      789 |    2896.00 |     0.84 |  Tam
    18 |     5136 |    2880.00 |     3.84 |  Vice
    19 |     9832 |    2880.00 |     4.56 |  African
    22 |      136 |    2880.00 |     0.48 | ips
    23 |     2845 |    2864.00 |     0.82 |  Tur
    24 |      753 |    2864.00 |     0.42 |  Ol
    17 |     2426 |    2848.00 |     1.99 |  left
    17 |     5396 |    2848.00 |     2.08 |  post
    21 |      309 |    2848.00 |     1.35 | 7
    16 |     8981 |    2832.00 |     1.92 |  Col
    23 |     1305 |    2832.00 |     0.94 |  Hy
    21 |     6390 |    2816.00 |     2.09 |  Mort
    22 |      987 |    2816.00 |     2.53 |  Sh
     9 |     2808 |    2800.00 |     0.35 |  .
    18 |      291 |    2800.00 |     4.35 |  E
     9 |     3255 |    2784.00 |     1.18 | <bos>
    18 |      708 |    2784.00 |     2.00 |  Sav
    21 |      561 |    2784.00 |     1.56 |  .
    22 |      139 |    2784.00 |     1.87 |  Al
    16 |     1751 |    2768.00 |     2.23 |  set
    20 |     7822 |    2768.00 |     0.81 |  Boul
    16 |      664 |    2752.00 |     0.90 |  B
    17 |      694 |    2752.00 |     3.13 |  re
    18 |     1649 |    2752.00 |     1.43 |  rep
    18 |     5336 |    2752.00 |     1.06 |  IJ
    18 |     5523 |    2752.00 |     2.23 |  Eng
    19 |      249 |    2752.00 |     3.94 |  went
    19 |      618 |    2752.00 |     3.78 |  civil
    20 |     9663 |    2752.00 |     3.46 |  Mats
